Full  log(Wcor)   e    Icor   Mcor        e
                 10-3   mag     mag  0.01mag

  229      2.654    7  11.02  -22.46      22
  230      2.506   15  13.29  -20.82      10
  231      2.484   35  11.73  -21.76       7
  232      2.315    8  14.09  -19.40      18
  233      2.358   11  13.27  -20.21      11
  235      2.642   21  12.17  -21.66      11
  236      2.445   10  13.55  -20.28      18
  237      2.634    7  12.00  -21.98      12
  238      2.614   24  11.07  -22.41      11
  239      2.293    7  14.10  -19.38      11
  240      2.220   20  14.46  -19.37      20
  241      2.227   40  12.07  -19.78       9
  242      2.509    9  13.09  -20.74      15
  243      2.431    8  13.00  -20.72      22
  244      2.368   37  10.88  -21.01      13
  245      2.656    7  11.26  -21.59       4
  246      2.331    8  13.94  -19.52      10
  247      2.407    7  13.39  -19.90      12
  248      2.506   50  12.88  -21.26      24
  249      2.571   50  12.67  -21.45      21
  250      2.589    9  12.65  -21.43      17
  251      2.435   11  11.79  -20.61      12
  252      2.396    7  11.20  -21.29      12
  253      2.537   35  11.02  -21.41       9
  254      2.662    7   9.68  -22.57      23
  255      2.631   16  10.27  -22.16      10
  256      2.596   25  10.80  -21.68      10
  257      2.429   14  11.50  -21.01      11
  258      2.431   19  11.15  -21.34       9
  259      2.228   22  13.87  -18.57      10
  260      2.468    6  11.17  -21.32      16
  261      2.379   21  12.26  -20.23      12
  262      2.426   25  11.99  -20.49      11
  263      2.602   11  10.38  -22.11      15
  264      2.730   28   9.37  -23.12       6
  265      2.471   74  11.06  -21.43       7
  266      2.491   35  11.35  -21.14      15
  267      2.531    8  12.25  -20.90      19
  268      2.415   40  12.43  -20.05      11
  269      2.561   30  11.01  -21.47      20
  270      2.601   32  10.61  -21.84      11
  271      2.320   50  12.34  -20.11       8
  272      2.520   33  11.07  -21.41      14
  273      2.527   27  11.28  -21.20      10
  274      2.209   57  13.93  -18.35       7
  275      2.629   11   9.91  -22.58      15
  276      2.572   13  10.75  -21.73      19
  277      2.478   41  11.90  -20.59       8
  278      2.703   12  10.39  -22.41      13
  279      2.485   10  12.64  -20.84      13
  280      2.350   10  11.87  -20.32      19
  281      2.526    7  11.43  -20.93      15
  282      2.567    8  11.62  -21.38      12
  283      2.420   13  12.68  -20.38      10
  284      2.700   26  11.40  -21.67      14
  285      2.436   28  12.77  -20.29      20
  286      2.612   27  12.09  -20.98      16
  287      2.525   25  11.89  -21.18      11
  288      2.418   23  12.82  -20.24      12
  289      2.442   13  12.85  -20.21      13
  290      2.483   14  12.35  -20.71      11
  291      2.610    5  11.02  -22.04      15
  292      2.507   12  11.82  -21.24      15
  293      2.340   25  13.10  -19.96      10
  294      2.223   25  14.18  -18.89       8
  295      2.292   25  12.39  -20.67      11
  296      2.558   18  11.38  -21.68       7
  297      2.585   12  12.11  -20.95      10
  298      2.422   20  13.01  -20.06      11
  299      2.532   14  11.79  -21.27      11
  300      2.609   26  11.75  -21.31       8
  301      2.301   80  12.06  -21.01      10
  302      2.592   19  11.17  -21.90       6
  303      2.607   31  11.64  -21.43       9
  304      2.489   27  12.00  -20.84      17
  305      2.441   11  12.08  -20.93       7
  306      2.447   14  12.42  -20.54      12
  307      2.509   12  11.43  -21.43      11
  308      2.602   26  10.72  -21.80      12
  309      2.592    4  10.96  -21.55      15
  310      2.477   26  10.59  -21.62      12
  311      2.410   11  11.79  -20.73      10
  312      2.651    8  10.59  -21.38      10
  313      2.501   20  11.77  -20.75       9
  314      2.330   13  11.81  -20.33      15
  315      2.528   15  11.20  -21.32      45
  316      2.342   36  12.45  -20.07       9
  317      2.429   17  11.66  -20.86      10
  318      2.225   30  13.93  -19.06      12
  319      2.378   35  12.73  -20.04      17
  320      2.458   13  13.48  -20.30       8
  321      2.693    6  11.78  -22.39      15
  322      2.104  100  12.75  -21.30       9
  323      2.463   15  13.70  -20.47       9
  324      2.384   10  13.31  -20.52      31
  325      2.481   20  13.93  -20.24      10
  326      2.563   20  12.77  -21.39      10
  327      2.436   35  12.32  -20.87      18
  328      2.451   15  13.54  -20.62      10
  329      2.583   13  13.19  -21.37      16
  330      2.465   42  13.40  -20.77      17
  331      2.454   16  13.39  -20.77       8
  332      2.422   35  13.57  -20.59      11
  333      2.377   31  13.99  -20.18      18
  334      2.570   11  12.83  -21.33       9
  335      2.501   18  12.71  -21.46       8
  336      2.583   10  12.21  -21.96      17
  337      2.349   65  11.77  -22.40       9
  338      2.530   32  12.82  -21.35      12
  339      2.696   23  11.95  -22.21      35
  340      2.558   60  12.52  -21.65      12
  341      2.662   12  12.16  -22.01       6
  342      2.583    9  12.61  -21.56      12
  343      2.722   26  11.36  -22.81      11
  344      2.423   22  13.43  -21.16      10
  345      2.450   15  13.16  -21.00      11
  346      2.778   25  11.34  -22.83       7
  347      2.534    5  13.36  -20.81      17
  348      2.575   15  12.86  -21.30      25
  349      2.587   50  12.49  -21.68      10
  350      2.544   13  12.85  -21.32      12
  351      2.502   15  12.19  -20.78       4
  352      2.476   44  13.18  -20.98      12
  353      2.346   55  13.77  -20.40       8
  354      2.570   30  12.42  -21.75       5
  355      2.527   27  13.07  -21.58      35
  356      2.450   62  12.41  -21.76       7
  357      2.507   22  13.84  -20.34      20
  358      2.518   38  12.81  -21.36       6
  359      2.456   32  12.14  -20.93      11
  360      2.649   14  11.76  -22.41       6
  361      2.636    6  12.19  -21.97       7
  362      2.714   95  12.46  -21.71      15
  363      2.344   30  14.04  -20.13      35
  364      2.553   11  12.47  -21.70      14
  365      2.464   20  13.38  -20.79      10
  366      2.520    8  13.06  -21.09      12
  367      2.528   15  12.92  -21.38      23
  368      2.165   29  12.39  -17.80       5
  369      2.494   15   9.29  -20.92       4
  370      2.518   25  10.17  -20.02       5
  371      2.306   16  12.65  -18.03       7
  372      2.362   12  10.65  -19.55       7
  373      2.212   27  11.98  -18.21      14
  374      2.254   13  12.01  -18.20       6
  375      2.523    9   9.29  -20.92      11
  376      2.539   22   9.42  -20.77       7
  377      2.188   18  12.59  -17.61      10
  378      2.142   18  13.41  -16.80      20
  379      2.177   49  13.22  -16.97       6
  380      2.408   10  10.08  -20.11      14
  381      2.481   18  10.02  -20.17       5
  382      2.633   10   8.75  -21.44      11
  383      2.391   26  10.74  -19.45      12
  384      2.329   35  11.23  -18.96       5
  385      2.191   37  12.16  -18.03       7
  386      2.569   17   9.20  -20.99      15
  387      2.377   20  10.70  -19.49      17
  388      2.280   26  11.84  -18.35       7
  389      2.424   12  10.57  -19.64      11
  390      2.566   17   9.02  -21.17      10
  391      2.565   20   9.40  -20.79      11
  392      2.562   21   9.71  -20.42       7
  393      2.251   20  12.52  -17.68       6
  394      2.580   17   9.10  -21.09      17
  395      2.328   25  10.76  -19.43      17
  396      2.572   20   9.13  -21.06      11
  397      2.106   36  13.30  -16.90      14
  398      2.282    3  13.36  -19.16      10
  399      2.465   29  11.59  -21.11      19
  400      2.365   43  11.81  -20.92      15
  401      2.664    9   9.90  -22.67      13
  402      2.658    6  10.19  -22.40      24
  403      2.386   50  12.41  -20.04      20
  404      2.173  150  12.62  -19.88      18
  405      2.205   70  13.67  -18.95      10
  406      2.431   21  11.68  -20.89       8
  407      2.510   21  10.98  -21.64      13
  408      2.363   13  12.07  -20.55      16
  409      2.428   14  11.50  -21.12      15
  410      2.447   27  11.55  -21.07      16
  411      2.647   13   9.89  -22.73      15
  412      2.491   50  11.61  -21.01      15
  413      2.328   10  13.09  -19.53      12
  414      2.586   27  11.64  -20.98      20
  415      2.247   43  13.12  -19.50      12
  416      2.510   38  11.51  -21.11      18
  417      2.433   18  12.25  -20.37      11
  418      2.283   51  13.25  -19.37      14
  419      2.602   36  11.24  -21.38      13
  420      2.346   37  12.90  -19.72      19
  421      2.499   27  11.28  -21.34      20
  422      2.334   20  13.27  -19.35      13
  423      2.153   44  13.34  -19.28      13
  424      2.225   63  13.10  -19.21       8
  425      2.559   15  10.55  -21.61       9
  426      2.284   41  13.35  -19.26      15
  427      2.482   40  12.02  -20.60      11
  428      2.243   58  12.54  -20.08      10
  429      2.211   51  13.87  -18.75      13
  430      2.477   35  11.88  -20.74      12
  431      2.389   40  12.25  -20.71      18
  432      2.306   93  13.22  -19.42      11
  433      2.763   27   9.64  -22.93      25
  434      2.536   25  10.39  -22.09      16
  435      2.453   14  11.59  -21.13      15
  436      2.510   27  11.02  -21.57      18
  437      2.503   28  11.66  -21.37      12
  438      2.632   46  11.69  -22.12      13
  439      2.557   10   9.98  -21.81      22
  440      2.647   22  11.98  -22.00      15
  441      2.536   26  11.71  -21.46      13
  442      2.481   11  10.83  -21.12      11
  443      2.652   19  12.65  -22.10      14
  444      2.328   38  12.71  -20.73      19
  445      2.367   29  13.06  -20.85       9
  446      2.643   19  11.90  -21.93      16
  447      2.540   35  12.26  -21.19      13
  448      2.621   11  11.05  -22.40      15
  449      2.226   40  12.48  -19.37      11
  450      2.620   15  11.40  -22.04      11
  451      2.370   41  13.49  -19.96      11
  452      2.467   52  11.74  -21.71      13
  453      2.799   19  10.30  -23.06      25
  454      2.552   16   9.80  -22.15      19
  455      2.635   19  11.80  -21.85      19
  456      2.365    8  10.30  -20.75      25
  457      2.342  100  11.09  -20.57      25
  458      2.653   21  12.95  -22.11      14
  459      2.702   15  11.38  -22.21      14
  460      2.521   35  12.50  -21.11      12
  461      2.721   28  11.06  -22.54      20
  462      2.377    7  11.04  -21.10      16
  463      2.180   30  12.55  -19.12      12
  464      2.692   38  12.43  -22.33      20
  465      2.146   69  13.42  -18.12      10
  466      2.145   23  12.20  -19.01       8
  467      2.252   10  10.81  -20.35      14
  468      2.563   25  12.33  -21.73      10
  469      2.374   17  12.19  -20.05       9
  470      2.425   38  11.33  -20.90       9
  471      2.556   18  12.72  -21.52      13
  472      2.560   18  12.80  -21.43      11
  473      2.503   19  13.07  -21.27      13
  474      2.510   10  13.60  -20.70      20
  475      2.630    9  12.81  -21.83      11
  476      2.667    8  12.26  -22.27      14
  477      2.494   13  12.98  -21.45       9
  478      2.659    6  12.56  -22.38      13
  479      2.448   12  13.40  -21.15      12
  480      2.496    9  13.62  -20.36      20
  481      2.470   25  13.49  -20.82       9
  482      2.545    8  12.77  -21.54      13
  483      2.536   95  12.88  -21.43       9
  484      2.483   19  13.07  -21.24      13
  485      2.541   14  13.01  -21.63       8
  486      2.472   15  13.15  -20.92       8
  487      2.540   18  13.35  -20.95      11
  488      2.716   15  12.31  -21.99      19
  489      2.469   17  13.72  -20.58      10
  490      2.691    6  11.98  -22.33      18
  491      2.550   18  13.23  -21.08      11
  492      2.514   54  13.04  -21.27      10
  493      2.508   29  13.22  -21.09      16
  494      2.616   29  12.43  -21.87      22
  495      2.569   13  12.69  -21.62      13
  496      2.629   27  12.08  -22.23      17
  497      2.399   14  13.66  -20.64      18
  498      2.420   11  13.57  -20.73      15
  499      2.569   13  12.59  -21.72      11
  500      2.666    6  12.53  -21.78      11
  501      2.584   27  12.97  -21.34      11
  502      2.308   33  14.27  -20.04      10
  503      2.668   25  11.97  -22.34       9
  504      2.377   28  13.87  -20.44      19
  505      2.430   14  13.26  -20.48      17
  506      2.708    8  11.98  -22.33      17
  507      2.566   11  12.50  -21.81      11
  508      2.386   12  13.72  -20.59      11
  509      2.396   16  13.08  -20.65      13
  510      2.442   18  13.42  -20.88       9
  511      2.529   13  12.80  -21.51      10
  512      2.376   20  13.47  -20.56       9
  513      2.778   11  11.50  -22.81      11
  514      2.465   11  13.04  -20.98      10
  515      2.385    8  14.15  -20.16      11
  516      2.590   12  12.05  -21.80       5
  517      2.509   29  12.49  -21.35       9
  518      2.727    6  11.79  -22.43      15
  519      2.339   31  13.46  -20.19       7
  520      2.571   10  12.59  -21.41      15
  521      2.233   43  12.88  -19.73       9
  522      2.399   20  12.27  -20.36      11
  523      2.518   20  11.39  -21.46      18
  524      2.490    7  11.71  -20.76      23
  525      2.435   60  12.00  -20.64       7
  526      2.531   48  11.12  -21.47      15
  527      2.332   14  12.55  -20.00      11
  528      2.380   60  12.57  -20.30      15
  529      2.178   45  13.21  -19.34       9
  530      2.345   14  11.77  -20.77      18
  531      2.347   30  12.32  -20.23      13
  532      2.043   34  13.65  -18.29       8
  533      2.335   13  12.16  -20.39       8
  534      2.322   79  13.10  -18.82       5
  535      2.547   11  10.63  -21.82      15
  536      2.461    8  11.40  -21.15      17
  537      2.512    9  10.88  -21.66      12
  538      2.403   15  11.93  -20.44      19
  539      2.175   33  13.09  -18.70      10
  540      2.415   64  11.24  -21.30       6
  541      2.228   33  13.06  -18.87       9
  542      2.216   12  12.31  -19.60      20
  543      2.362   24  11.73  -20.32      10
  544      2.562   35  11.07  -21.47       4
  545      2.296   29  11.38  -20.42       9
  546      2.207   23   9.92  -21.66       9
  547      2.627   27  11.41  -21.99      11
  548      2.403   27  13.06  -20.17      13
  549      2.335   12  13.33  -19.98      13
  550      2.208  102  13.20  -18.98       7
  551      2.445   29  12.90  -20.47      12
  552      2.528    6  10.00  -22.13      16
  553      2.342   15  12.98  -19.94      10
  554      2.372   31  13.27  -20.14      12
  555      2.524    7  11.05  -21.26      10
  556      2.671   13  11.87  -22.38       9
  557      2.405   25  12.43  -20.62       9
  558      2.623   20  11.67  -21.76      15
  559      2.452   32  12.79  -20.90      15
  560      2.574   25  12.14  -21.29      11
  561      2.591   24  11.83  -21.60      11
  562      2.373   36  13.17  -20.26      20
  563      2.537   24  12.38  -21.05      19
  564      2.716   30  11.23  -22.20      11
  565      2.533   29  11.90  -21.53      11
  566      2.572   18  11.72  -21.71      16
  567      2.627    7  11.52  -21.92      20
  568      2.076   35  11.26  -19.58      14
  569      2.376   52  13.42  -20.70       9
  570      2.607   34  12.20  -22.16      10
  571      2.563   33  11.63  -21.52      11
  572      2.487   17  11.16  -22.00      10
  573      2.589   12  11.72  -21.81      25
  574      2.670    6  12.38  -21.92      22
  575      2.414    8  12.73  -20.42      14
  576      2.464    9  13.36  -21.03      20
  577      2.322   60  12.93  -20.07       8
  578      2.650   11  11.18  -22.13      11
  579      2.663   40  12.44  -22.43      10
  580      2.534   11  13.62  -21.36       9
  581      2.685   16  12.60  -22.21       7
  582      2.500   18  13.10  -21.75       7
  583      2.547    5  13.07  -21.78      15
  584      2.618   18  12.75  -22.09       8
  585      2.523   22  13.43  -21.38      30
  586      2.684   20  12.77  -22.04       6
  587      2.306   60  14.39  -20.42      27
  588      2.607   22  13.04  -21.80      25
  589      2.364   95  13.24  -21.60       5
  590      2.573   24  13.64  -21.21      10
  591      2.594   17  13.32  -21.53      20
  592      2.475   13  14.66  -20.18      18
  593      2.582   12  13.19  -21.65      22
  594      2.579   48  12.90  -21.90       8
  595      2.548   20  13.37  -21.47      22
  596      2.740   13  12.69  -22.11      18
  597      2.699   23  12.72  -22.12       9
  598      2.526   11  13.83  -21.16      26
  599      2.631   16  12.76  -22.08      16
  600      2.749   28  12.00  -22.81      16
  601      2.627    9  12.94  -21.87      20
  602      2.722    9  12.49  -22.31       8
  603      2.697    9  12.65  -22.23       8
  604      2.505   11  13.33  -21.49      12
  605      2.585   23  11.34  -22.06      17
  606      2.595   55  11.47  -22.07       9
  607      2.225   71  13.00  -19.26      13
  608      2.404   12  11.63  -20.57      11
  609      2.385   96  12.29  -20.89      10
  610      2.310   29  12.63  -20.02      14
  611      2.263   16  12.36  -19.50       7
  612      2.455   16  11.76  -20.75       9
  613      2.511   20  12.06  -21.37       9
  614      2.371    8  11.55  -20.67      13
  615      2.637   28  10.98  -22.26      15
  616      2.431   46  12.86  -20.37      14
  617      2.607   21  11.09  -21.42      13
  618      2.301   41  11.26  -20.30      12
  619      2.482    7  10.07  -21.66      11
  620      2.468   75  11.45  -22.00       9
  621      2.607   60  11.44  -21.92      10
  622      2.321   40  13.48  -19.76       8
  623      2.359   79  12.62  -20.04       6
  624      2.258   24  13.66  -19.74      18
  625      2.483   60  11.76  -21.48      10
  626      2.527   33  11.71  -21.53       9
  627      2.374   23  12.50  -20.23      14
  628      2.649   11  10.75  -22.05      11
  629      2.432   40  12.85  -20.28      10
  630      2.723   18  10.90  -22.30      17
  631      2.432   35  11.92  -20.98      10
  632      2.439    9  11.51  -20.97      19
  633      2.412   80  12.16  -21.05      10
  634      2.386   34  12.47  -19.93       9
  635      2.742   10  10.44  -22.80      18
  636      2.740   23  10.91  -22.29      10
